product_id,brand_name,generic_name,manufacturer,dosage_form,strength,pack_size,price,discount_percent,final_price,is_prescription_required,drug_type,therapeutic_class,storage_condition,shelf_life_months,country,availability_status,rating,num_reviews,contains_ai_generated_label
P00012,LifeCare,Amoxicillin,Global Remedies,Syrup,5mg,20,546.76,20,437.41,No,OTC,Analgesic,Room Temp,24,India,Out of stock,2.7,413,Yes
P00013,BioTrust,Metformin,Global Remedies,Syrup,250mg,10,1411.96,15,1200.17,Yes,OTC,Antihypertensive,Room Temp,17,USA,In stock,3.2,308,No
P00014,PharmaOne,Paracetamol,Sun Healthcare,Tablet,5mg,30,1594.25,20,1275.4,No,OTC,Antidiabetic,Refrigerated,26,Bangladesh,In stock,4.3,369,Yes
P00015,BioTrust,Omeprazole,ABC Pharma,Injection,500mg,20,1058.19,0,1058.19,No,OTC,Analgesic,Refrigerated,33,Bangladesh,In stock,2.9,105,No
P00016,Medix,Atorvastatin,Medicare Ltd,Injection,250mg,15,987.81,5,938.42,No,OTC,Antidiabetic,Room Temp,25,Canada,In stock,4.6,123,Yes
P00017,Medix,Omeprazole,Nova Life,Capsule,500mg,20,529.08,10,476.17,No,Prescription,Antibiotic,Room Temp,30,Canada,In stock,4.3,43,Yes
P00018,LifeCare,Amoxicillin,Nova Life,Ointment,5mg,30,1094.18,15,930.05,No,Prescription,Antacid,Room Temp,16,Bangladesh,Out of stock,2.7,417,Yes
P00019,Medix,Amoxicillin,Global Remedies,Tablet,250mg,20,793.39,5,753.72,Yes,OTC,Analgesic,Room Temp,25,India,Limited,5.0,241,No
P00020,Medix,Paracetamol,ABC Pharma,Ointment,100mg,20,258.5,20,206.8,Yes,Prescription,Analgesic,Room Temp,36,Bangladesh,Limited,3.0,387,No
P00021,BioTrust,Metformin,Global Remedies,Syrup,100mg,20,825.79,0,825.79,Yes,OTC,Antibiotic,Refrigerated,16,Bangladesh,Out of stock,4.9,484,Yes
P00022,Medix,Metformin,Medicare Ltd,Injection,100mg,30,86.91,15,73.87,Yes,Prescription,Antihypertensive,Room Temp,26,Canada,Out of stock,3.7,167,Yes
P00023,PharmaOne,Metformin,ABC Pharma,Capsule,250mg,15,1554.46,5,1476.74,No,Prescription,Antacid,Room Temp,21,USA,In stock,4.2,277,No
P00024,BioTrust,Paracetamol,Nova Life,Syrup,50mg,30,1811.84,15,1540.06,No,OTC,Antacid,Room Temp,31,UK,In stock,3.3,362,Yes
P00025,HealPlus,Amoxicillin,Nova Life,Ointment,5mg,30,1308.61,0,1308.61,No,Prescription,Antihypertensive,Room Temp,29,Canada,Limited,4.8,228,Yes
P00026,Medix,Amoxicillin,ABC Pharma,Ointment,250mg,20,50.69,15,43.09,No,OTC,Analgesic,Room Temp,25,India,Limited,2.6,433,Yes
P00027,LifeCare,Amoxicillin,Global Remedies,Syrup,500mg,30,1653.65,0,1653.65,Yes,Prescription,Antihypertensive,Room Temp,32,USA,Limited,4.3,365,No
P00028,Medix,Metformin,Sun Healthcare,Ointment,250mg,10,259.92,5,246.92,Yes,OTC,Antacid,Room Temp,21,USA,Out of stock,4.7,178,No
P00029,HealPlus,Omeprazole,Medicare Ltd,Ointment,100mg,30,1527.11,0,1527.11,Yes,OTC,Antacid,Room Temp,14,Canada,Limited,4.7,130,Yes
P00030,HealPlus,Atorvastatin,Global Remedies,Injection,250mg,20,1169.34,15,993.94,No,OTC,Antacid,Room Temp,16,UK,Out of stock,3.9,50,Yes
P00031,HealPlus,Amoxicillin,Medicare Ltd,Syrup,50mg,20,92.33,20,73.86,Yes,OTC,Antacid,Refrigerated,14,USA,In stock,4.3,291,No
P00032,LifeCare,Omeprazole,Global Remedies,Capsule,500mg,15,1904.76,15,1619.05,Yes,OTC,Antihypertensive,Room Temp,21,Canada,In stock,3.3,310,No
P00033,BioTrust,Metformin,Global Remedies,Injection,500mg,30,24.65,0,24.65,No,OTC,Antihypertensive,Room Temp,15,Bangladesh,In stock,3.6,317,Yes
P00034,LifeCare,Atorvastatin,Nova Life,Tablet,5mg,15,1114.03,20,891.22,Yes,OTC,Analgesic,Room Temp,32,Bangladesh,In stock,3.6,282,No
P00035,Medix,Atorvastatin,Global Remedies,Syrup,100mg,30,1524.46,15,1295.79,Yes,OTC,Analgesic,Refrigerated,22,USA,Out of stock,4.4,256,Yes
P00036,LifeCare,Paracetamol,Global Remedies,Tablet,500mg,10,624.37,5,593.15,No,OTC,Antihypertensive,Refrigerated,16,UK,Out of stock,4.6,432,Yes
P00037,PharmaOne,Atorvastatin,Global Remedies,Injection,50mg,30,468.53,10,421.68,Yes,OTC,Antibiotic,Refrigerated,16,India,Limited,3.1,330,Yes
P00038,Medix,Paracetamol,Medicare Ltd,Capsule,250mg,15,45.41,15,38.6,Yes,OTC,Antacid,Room Temp,20,Canada,Out of stock,4.8,439,No
P00039,Medix,Atorvastatin,Medicare Ltd,Tablet,250mg,10,1499.28,5,1424.32,No,OTC,Antihypertensive,Refrigerated,30,Canada,Limited,4.5,111,Yes
P00040,LifeCare,Omeprazole,Global Remedies,Tablet,100mg,10,1405.05,20,1124.04,Yes,Prescription,Antidiabetic,Refrigerated,20,USA,Out of stock,4.4,247,No
P00041,LifeCare,Atorvastatin,Global Remedies,Tablet,250mg,20,1815.83,10,1634.25,Yes,Prescription,Antibiotic,Refrigerated,32,India,In stock,4.8,119,No
P00042,BioTrust,Metformin,Global Remedies,Capsule,250mg,20,264.13,15,224.51,No,Prescription,Antibiotic,Refrigerated,28,Canada,Limited,3.2,438,No
P00043,BioTrust,Amoxicillin,Medicare Ltd,Syrup,50mg,15,672.4,10,605.16,Yes,OTC,Antidiabetic,Room Temp,29,Canada,Out of stock,4.0,274,No
P00044,PharmaOne,Atorvastatin,Global Remedies,Injection,50mg,20,1700.55,10,1530.49,Yes,Prescription,Analgesic,Refrigerated,24,USA,In stock,3.2,478,No
P00045,LifeCare,Paracetamol,Sun Healthcare,Capsule,5mg,10,1565.63,20,1252.5,Yes,Prescription,Analgesic,Room Temp,27,USA,Limited,2.8,381,Yes
P00046,Medix,Atorvastatin,Sun Healthcare,Syrup,100mg,30,1012.67,20,810.14,No,OTC,Antidiabetic,Room Temp,26,Bangladesh,In stock,4.4,50,Yes
P00047,BioTrust,Amoxicillin,Sun Healthcare,Syrup,100mg,15,315.95,5,300.15,Yes,Prescription,Antacid,Room Temp,22,USA,Limited,3.7,95,No
P00048,PharmaOne,Metformin,Global Remedies,Ointment,500mg,30,424.61,0,424.61,No,OTC,Antibiotic,Room Temp,14,India,Out of stock,2.7,307,Yes
P00049,PharmaOne,Paracetamol,Sun Healthcare,Injection,500mg,30,588.35,0,588.35,Yes,Prescription,Antacid,Room Temp,36,UK,Limited,4.1,279,Yes
P00050,HealPlus,Omeprazole,Global Remedies,Injection,500mg,30,429.94,15,365.45,No,Prescription,Analgesic,Room Temp,22,India,Out of stock,3.5,336,Yes
P00051,HealPlus,Amoxicillin,Global Remedies,Injection,250mg,20,743.22,15,631.74,Yes,Prescription,Antibiotic,Room Temp,18,Canada,In stock,4.7,427,No
P00052,Medix,Omeprazole,Sun Healthcare,Syrup,5mg,15,1135.25,15,964.96,No,OTC,Antibiotic,Refrigerated,25,UK,Out of stock,3.0,437,No
P00053,PharmaOne,Atorvastatin,Nova Life,Syrup,100mg,30,587.83,15,499.66,No,Prescription,Analgesic,Room Temp,21,Canada,In stock,4.2,82,No
P00054,BioTrust,Amoxicillin,ABC Pharma,Syrup,50mg,15,758.68,20,606.94,No,Prescription,Antibiotic,Room Temp,32,India,Limited,4.0,142,No
P00055,LifeCare,Amoxicillin,Nova Life,Injection,100mg,10,763.2,5,725.04,No,OTC,Antihypertensive,Room Temp,15,UK,Out of stock,4.9,491,No
P00056,HealPlus,Omeprazole,Sun Healthcare,Tablet,50mg,15,1485.5,10,1336.95,No,Prescription,Analgesic,Refrigerated,34,UK,Out of stock,2.9,157,Yes
P00057,BioTrust,Atorvastatin,Medicare Ltd,Syrup,100mg,20,1425.92,0,1425.92,Yes,Prescription,Antacid,Room Temp,15,India,In stock,3.3,89,No
P00058,PharmaOne,Omeprazole,Medicare Ltd,Ointment,50mg,30,727.5,10,654.75,No,OTC,Antacid,Refrigerated,33,Bangladesh,Out of stock,3.5,337,Yes
P00059,PharmaOne,Amoxicillin,Global Remedies,Tablet,100mg,30,1806.14,10,1625.53,Yes,OTC,Antidiabetic,Room Temp,26,Canada,In stock,2.8,212,Yes
P00060,BioTrust,Paracetamol,Nova Life,Capsule,5mg,30,221.77,10,199.59,Yes,OTC,Antihypertensive,Refrigerated,22,India,Out of stock,3.6,464,No
P00061,PharmaOne,Omeprazole,Nova Life,Ointment,5mg,15,186.68,20,149.34,Yes,Prescription,Antibiotic,Refrigerated,15,India,Out of stock,4.0,185,No
P00062,Medix,Metformin,Medicare Ltd,Capsule,500mg,30,87.1,10,78.39,No,OTC,Analgesic,Refrigerated,24,India,Limited,3.5,347,Yes
P00063,PharmaOne,Metformin,Sun Healthcare,Ointment,100mg,15,155.24,0,155.24,Yes,OTC,Antibiotic,Refrigerated,25,UK,Limited,2.5,213,No
P00064,BioTrust,Paracetamol,Medicare Ltd,Ointment,500mg,10,916.32,0,916.32,Yes,OTC,Antidiabetic,Refrigerated,24,UK,In stock,3.9,15,No
P00065,PharmaOne,Amoxicillin,Nova Life,Capsule,100mg,10,581.73,0,581.73,No,Prescription,Antihypertensive,Refrigerated,18,USA,Out of stock,3.7,265,Yes
P00066,BioTrust,Paracetamol,ABC Pharma,Injection,500mg,10,309.29,0,309.29,No,OTC,Antacid,Room Temp,20,Canada,Limited,4.1,263,Yes
P00067,Medix,Atorvastatin,Medicare Ltd,Ointment,250mg,15,1248.5,15,1061.22,No,OTC,Antidiabetic,Room Temp,35,USA,In stock,4.0,292,Yes
P00068,BioTrust,Paracetamol,Global Remedies,Injection,50mg,15,750.13,15,637.61,No,Prescription,Antihypertensive,Room Temp,21,USA,Out of stock,4.7,210,No
P00069,PharmaOne,Paracetamol,Nova Life,Injection,100mg,10,1419.33,20,1135.46,No,Prescription,Antacid,Refrigerated,16,USA,Out of stock,4.2,224,No
P00070,HealPlus,Omeprazole,ABC Pharma,Ointment,500mg,20,507.98,20,406.38,Yes,OTC,Antibiotic,Refrigerated,22,UK,In stock,3.5,196,Yes
P00071,PharmaOne,Atorvastatin,Medicare Ltd,Syrup,100mg,30,832.25,10,749.02,No,OTC,Antihypertensive,Room Temp,30,Canada,In stock,3.8,224,No
P00072,LifeCare,Paracetamol,ABC Pharma,Syrup,100mg,10,1310.19,20,1048.15,No,Prescription,Antihypertensive,Refrigerated,32,Bangladesh,In stock,4.6,499,No
P00073,BioTrust,Atorvastatin,Sun Healthcare,Capsule,100mg,15,1168.13,5,1109.72,No,Prescription,Analgesic,Refrigerated,14,India,Out of stock,2.9,455,Yes
P00074,Medix,Atorvastatin,ABC Pharma,Syrup,500mg,20,487.23,15,414.15,Yes,Prescription,Antibiotic,Refrigerated,35,India,Limited,3.4,107,Yes
P00075,HealPlus,Amoxicillin,Nova Life,Injection,5mg,10,1147.25,20,917.8,No,Prescription,Antihypertensive,Room Temp,15,USA,Limited,4.3,338,Yes
P00076,BioTrust,Metformin,Nova Life,Syrup,500mg,30,1237.58,15,1051.94,No,Prescription,Antibiotic,Refrigerated,23,USA,In stock,2.5,105,No
P00077,LifeCare,Omeprazole,Sun Healthcare,Syrup,500mg,30,692.03,15,588.23,Yes,Prescription,Antacid,Refrigerated,15,India,Limited,3.1,216,No
P00078,LifeCare,Omeprazole,ABC Pharma,Ointment,250mg,20,1064.22,0,1064.22,Yes,OTC,Antihypertensive,Refrigerated,35,Canada,Out of stock,2.6,391,Yes
P00079,LifeCare,Omeprazole,Nova Life,Ointment,250mg,15,1577.95,20,1262.36,Yes,Prescription,Antihypertensive,Refrigerated,17,Canada,In stock,3.8,453,Yes
P00080,BioTrust,Metformin,Sun Healthcare,Capsule,100mg,20,468.73,0,468.73,No,Prescription,Antihypertensive,Refrigerated,20,USA,In stock,3.4,386,Yes
P00081,LifeCare,Atorvastatin,Medicare Ltd,Injection,250mg,20,207.79,0,207.79,Yes,OTC,Analgesic,Refrigerated,34,USA,Out of stock,2.7,297,No
P00082,BioTrust,Paracetamol,Global Remedies,Syrup,250mg,20,1965.91,0,1965.91,Yes,Prescription,Antibiotic,Refrigerated,34,USA,Limited,3.0,96,No
P00083,PharmaOne,Paracetamol,Global Remedies,Syrup,500mg,15,1717.33,5,1631.46,No,OTC,Antidiabetic,Refrigerated,35,Canada,Out of stock,5.0,57,Yes
P00084,LifeCare,Metformin,Global Remedies,Ointment,5mg,20,1633.65,0,1633.65,No,OTC,Antidiabetic,Refrigerated,25,UK,Out of stock,4.5,178,No
P00085,HealPlus,Paracetamol,Global Remedies,Ointment,250mg,10,1872.56,0,1872.56,Yes,OTC,Analgesic,Refrigerated,13,USA,Out of stock,4.4,444,Yes
P00086,LifeCare,Atorvastatin,ABC Pharma,Capsule,5mg,15,629.22,0,629.22,No,Prescription,Analgesic,Room Temp,30,Canada,In stock,3.1,143,No
P00087,Medix,Omeprazole,Medicare Ltd,Capsule,100mg,20,1581.18,0,1581.18,Yes,OTC,Antacid,Room Temp,26,USA,Out of stock,4.7,436,No
P00088,LifeCare,Paracetamol,Nova Life,Syrup,250mg,30,377.28,20,301.82,No,Prescription,Antidiabetic,Room Temp,21,Bangladesh,Out of stock,3.0,404,Yes
P00089,PharmaOne,Atorvastatin,Medicare Ltd,Tablet,100mg,20,1994.73,10,1795.26,Yes,Prescription,Antacid,Room Temp,18,Bangladesh,Limited,3.7,327,Yes
P00090,BioTrust,Paracetamol,Nova Life,Tablet,5mg,30,745.8,15,633.93,Yes,Prescription,Antihypertensive,Room Temp,20,Canada,In stock,3.0,393,Yes
P00091,LifeCare,Paracetamol,Sun Healthcare,Syrup,250mg,15,304.91,20,243.93,Yes,OTC,Antacid,Refrigerated,23,Bangladesh,In stock,2.8,403,Yes
P00092,Medix,Paracetamol,Medicare Ltd,Injection,50mg,10,1135.72,0,1135.72,Yes,Prescription,Analgesic,Room Temp,12,Canada,Limited,3.9,328,Yes
P00093,LifeCare,Omeprazole,Medicare Ltd,Injection,100mg,20,415.96,5,395.16,No,OTC,Analgesic,Room Temp,35,India,In stock,4.7,34,Yes
P00094,BioTrust,Atorvastatin,Medicare Ltd,Injection,5mg,15,1330.54,5,1264.01,Yes,OTC,Antihypertensive,Refrigerated,32,UK,Limited,3.4,413,Yes
P00095,BioTrust,Amoxicillin,Medicare Ltd,Injection,500mg,20,394.73,10,355.26,No,OTC,Antibiotic,Refrigerated,28,Bangladesh,In stock,3.6,151,No
P00096,Medix,Metformin,Global Remedies,Ointment,50mg,10,957.8,10,862.02,Yes,Prescription,Antidiabetic,Refrigerated,35,India,Out of stock,2.7,47,Yes
P00097,BioTrust,Paracetamol,ABC Pharma,Syrup,100mg,30,1972.25,0,1972.25,Yes,Prescription,Antidiabetic,Refrigerated,32,India,In stock,3.0,289,Yes
P00098,PharmaOne,Metformin,Global Remedies,Capsule,100mg,20,1235.95,5,1174.15,No,Prescription,Analgesic,Room Temp,28,USA,Out of stock,4.8,52,Yes
P00099,LifeCare,Amoxicillin,Sun Healthcare,Syrup,50mg,15,192.2,0,192.2,No,Prescription,Antibiotic,Room Temp,22,Bangladesh,In stock,3.8,465,No
P00100,LifeCare,Omeprazole,Global Remedies,Syrup,100mg,30,1238.45,5,1176.53,Yes,Prescription,Antihypertensive,Refrigerated,15,Bangladesh,In stock,4.4,271,Yes
P00101,PharmaOne,Omeprazole,Nova Life,Tablet,50mg,30,1349.63,15,1147.19,No,Prescription,Analgesic,Refrigerated,33,UK,Out of stock,2.8,490,Yes
P00102,LifeCare,Atorvastatin,Medicare Ltd,Capsule,50mg,20,1014.07,0,1014.07,Yes,Prescription,Antidiabetic,Refrigerated,15,Canada,In stock,4.1,246,No
P00103,LifeCare,Amoxicillin,Medicare Ltd,Injection,500mg,10,151.72,15,128.96,Yes,OTC,Antacid,Room Temp,14,UK,Out of stock,3.1,266,No
P00104,BioTrust,Metformin,Global Remedies,Injection,250mg,20,998.65,5,948.72,No,Prescription,Antibiotic,Refrigerated,13,UK,Limited,2.9,133,No
P00105,BioTrust,Atorvastatin,Global Remedies,Tablet,50mg,30,1870.9,0,1870.9,No,OTC,Antihypertensive,Refrigerated,35,Canada,Limited,4.1,450,No
P00106,Medix,Paracetamol,Nova Life,Injection,100mg,20,1281.58,5,1217.5,Yes,OTC,Antihypertensive,Refrigerated,36,Canada,In stock,3.1,395,Yes
P00107,LifeCare,Paracetamol,Global Remedies,Capsule,500mg,30,1243.74,15,1057.18,No,OTC,Analgesic,Refrigerated,13,Bangladesh,In stock,3.4,226,No
P00108,HealPlus,Metformin,Global Remedies,Ointment,250mg,10,899.87,15,764.89,Yes,OTC,Analgesic,Refrigerated,27,UK,In stock,3.3,426,No
P00109,BioTrust,Omeprazole,Sun Healthcare,Ointment,500mg,20,724.18,5,687.97,Yes,Prescription,Antibiotic,Room Temp,25,Canada,Out of stock,3.3,314,No
P00110,BioTrust,Amoxicillin,ABC Pharma,Injection,5mg,15,93.23,20,74.58,No,OTC,Antihypertensive,Room Temp,29,USA,In stock,3.6,101,No
P00111,HealPlus,Atorvastatin,ABC Pharma,Tablet,250mg,15,858.45,15,729.68,No,Prescription,Antacid,Room Temp,28,India,In stock,4.7,183,No
P00112,BioTrust,Atorvastatin,Nova Life,Injection,100mg,30,170.62,15,145.03,Yes,OTC,Analgesic,Refrigerated,12,UK,Out of stock,2.6,401,Yes
P00113,HealPlus,Atorvastatin,ABC Pharma,Capsule,500mg,10,1385.94,20,1108.75,Yes,Prescription,Antacid,Refrigerated,21,Bangladesh,In stock,2.8,455,Yes
P00114,BioTrust,Paracetamol,ABC Pharma,Capsule,100mg,10,1547.11,15,1315.04,No,OTC,Antidiabetic,Room Temp,16,Canada,Out of stock,2.6,352,Yes
P00115,HealPlus,Paracetamol,Medicare Ltd,Tablet,250mg,15,274.17,0,274.17,No,Prescription,Antibiotic,Refrigerated,16,UK,Limited,5.0,308,Yes
P00116,PharmaOne,Omeprazole,Sun Healthcare,Ointment,5mg,10,1256.87,10,1131.18,No,Prescription,Analgesic,Refrigerated,36,Bangladesh,Out of stock,4.2,420,No
P00117,BioTrust,Atorvastatin,Global Remedies,Injection,50mg,15,1041.13,0,1041.13,Yes,OTC,Analgesic,Refrigerated,24,USA,Out of stock,2.5,414,No
P00118,BioTrust,Paracetamol,Medicare Ltd,Injection,100mg,15,1404.58,5,1334.35,No,Prescription,Antihypertensive,Refrigerated,30,Canada,Out of stock,5.0,188,No
P00119,PharmaOne,Paracetamol,Global Remedies,Tablet,100mg,20,1107.45,20,885.96,No,Prescription,Antihypertensive,Refrigerated,21,USA,Limited,3.5,179,Yes
P00120,HealPlus,Metformin,ABC Pharma,Ointment,50mg,15,24.84,15,21.11,Yes,Prescription,Antihypertensive,Room Temp,13,UK,Limited,3.4,428,Yes
P00121,PharmaOne,Atorvastatin,Sun Healthcare,Syrup,50mg,20,1253.0,20,1002.4,No,OTC,Antacid,Room Temp,17,Canada,Limited,4.6,251,No
P00122,Medix,Amoxicillin,Sun Healthcare,Capsule,250mg,20,349.23,20,279.38,Yes,Prescription,Antidiabetic,Room Temp,25,Canada,In stock,4.2,139,No
P00123,BioTrust,Paracetamol,Medicare Ltd,Tablet,50mg,10,286.76,0,286.76,Yes,OTC,Antibiotic,Room Temp,36,India,Limited,3.2,218,Yes
P00124,LifeCare,Amoxicillin,Nova Life,Capsule,50mg,30,1350.3,10,1215.27,No,OTC,Analgesic,Room Temp,12,Canada,Out of stock,4.1,333,Yes
P00125,Medix,Omeprazole,Sun Healthcare,Ointment,500mg,30,445.56,15,378.73,No,OTC,Antidiabetic,Refrigerated,23,USA,Limited,3.5,266,Yes
P00126,BioTrust,Amoxicillin,Nova Life,Syrup,250mg,10,239.58,20,191.66,Yes,Prescription,Antihypertensive,Refrigerated,31,India,Out of stock,3.6,179,No
P00127,LifeCare,Omeprazole,Sun Healthcare,Injection,100mg,15,1745.61,15,1483.77,Yes,Prescription,Antibiotic,Room Temp,22,UK,Limited,5.0,314,No
P00128,Medix,Paracetamol,Nova Life,Ointment,500mg,15,1767.42,10,1590.68,No,Prescription,Analgesic,Room Temp,36,UK,Out of stock,2.6,190,No
P00129,BioTrust,Paracetamol,Medicare Ltd,Tablet,500mg,15,1911.83,20,1529.46,Yes,Prescription,Antibiotic,Refrigerated,15,Canada,Limited,4.0,273,No
P00130,PharmaOne,Omeprazole,Global Remedies,Tablet,5mg,20,152.45,10,137.2,No,OTC,Antidiabetic,Room Temp,20,India,Limited,4.6,200,No
P00131,HealPlus,Atorvastatin,Medicare Ltd,Ointment,5mg,10,690.46,15,586.89,No,OTC,Antibiotic,Refrigerated,14,UK,Limited,2.5,371,No
P00132,BioTrust,Omeprazole,ABC Pharma,Ointment,500mg,15,1249.38,20,999.5,Yes,Prescription,Antacid,Refrigerated,31,Canada,Out of stock,4.8,60,Yes
P00133,PharmaOne,Metformin,Medicare Ltd,Injection,50mg,10,308.63,5,293.2,Yes,OTC,Antacid,Refrigerated,21,India,Limited,3.3,170,Yes
P00134,Medix,Atorvastatin,Medicare Ltd,Syrup,500mg,20,1642.42,20,1313.94,No,OTC,Antihypertensive,Room Temp,29,Canada,Out of stock,4.1,185,No
P00135,PharmaOne,Atorvastatin,ABC Pharma,Capsule,100mg,15,753.36,5,715.69,Yes,Prescription,Antibiotic,Room Temp,31,Bangladesh,Out of stock,3.9,355,Yes
P00136,Medix,Atorvastatin,Medicare Ltd,Tablet,50mg,20,1310.17,5,1244.66,No,Prescription,Antidiabetic,Room Temp,20,UK,Out of stock,3.9,352,Yes
P00137,BioTrust,Paracetamol,ABC Pharma,Capsule,5mg,15,488.17,15,414.94,No,Prescription,Antacid,Refrigerated,35,UK,Limited,4.6,184,Yes
P00138,PharmaOne,Metformin,Medicare Ltd,Capsule,250mg,10,980.87,15,833.74,No,Prescription,Antacid,Refrigerated,34,India,In stock,4.7,468,Yes
P00139,LifeCare,Omeprazole,Nova Life,Injection,500mg,30,41.39,0,41.39,Yes,Prescription,Antidiabetic,Room Temp,26,USA,In stock,4.0,253,No
P00140,HealPlus,Paracetamol,Medicare Ltd,Tablet,500mg,20,1172.51,15,996.63,Yes,OTC,Antihypertensive,Refrigerated,26,USA,Limited,4.6,352,Yes
P00141,LifeCare,Atorvastatin,Medicare Ltd,Capsule,50mg,30,98.78,10,88.9,Yes,OTC,Antihypertensive,Refrigerated,18,Canada,In stock,4.7,31,Yes
P00142,PharmaOne,Amoxicillin,Sun Healthcare,Tablet,100mg,10,545.32,10,490.79,Yes,OTC,Antidiabetic,Room Temp,16,Bangladesh,Limited,4.6,338,Yes
P00143,LifeCare,Paracetamol,Sun Healthcare,Syrup,50mg,15,1541.16,20,1232.93,Yes,Prescription,Antihypertensive,Room Temp,36,Canada,Limited,3.7,212,Yes
P00144,LifeCare,Metformin,Sun Healthcare,Ointment,50mg,20,1295.53,15,1101.2,Yes,Prescription,Antibiotic,Room Temp,19,USA,Limited,4.3,470,No
P00145,HealPlus,Atorvastatin,Nova Life,Capsule,50mg,10,1081.92,15,919.63,No,Prescription,Antihypertensive,Room Temp,33,India,Out of stock,4.4,140,No
P00146,Medix,Paracetamol,Global Remedies,Injection,500mg,20,783.46,20,626.77,No,Prescription,Antacid,Refrigerated,32,India,In stock,3.5,485,Yes
P00147,Medix,Amoxicillin,Nova Life,Capsule,250mg,20,689.77,0,689.77,Yes,Prescription,Antihypertensive,Refrigerated,30,India,Limited,4.0,262,Yes
P00148,HealPlus,Amoxicillin,Nova Life,Injection,250mg,15,1669.43,5,1585.96,No,OTC,Antacid,Room Temp,20,India,In stock,3.4,15,No
P00149,LifeCare,Paracetamol,Medicare Ltd,Ointment,50mg,30,617.29,20,493.83,No,OTC,Analgesic,Refrigerated,34,USA,In stock,3.5,3,No
P00150,Medix,Omeprazole,Sun Healthcare,Injection,100mg,15,1704.89,15,1449.16,No,OTC,Antibiotic,Room Temp,31,Bangladesh,Out of stock,2.7,268,Yes
P00151,HealPlus,Amoxicillin,ABC Pharma,Injection,5mg,10,1119.25,0,1119.25,No,OTC,Antacid,Refrigerated,33,Bangladesh,Out of stock,2.7,240,No
P00152,HealPlus,Amoxicillin,Medicare Ltd,Tablet,50mg,20,1712.56,5,1626.93,Yes,OTC,Antihypertensive,Refrigerated,26,UK,Out of stock,4.3,87,No
P00153,HealPlus,Metformin,Sun Healthcare,Ointment,500mg,15,1470.25,10,1323.22,No,OTC,Antibiotic,Refrigerated,32,Canada,In stock,3.8,468,Yes
P00154,HealPlus,Paracetamol,Sun Healthcare,Ointment,500mg,15,241.3,15,205.11,Yes,Prescription,Analgesic,Room Temp,20,India,In stock,4.7,176,No
P00155,PharmaOne,Amoxicillin,ABC Pharma,Syrup,250mg,15,1936.28,0,1936.28,No,Prescription,Antihypertensive,Room Temp,29,Canada,Limited,4.0,166,Yes
P00156,BioTrust,Omeprazole,Sun Healthcare,Ointment,5mg,20,1617.89,5,1537.0,No,Prescription,Antacid,Refrigerated,19,India,Out of stock,3.7,184,No
P00157,Medix,Atorvastatin,ABC Pharma,Tablet,100mg,15,1276.54,0,1276.54,No,Prescription,Antidiabetic,Refrigerated,35,India,In stock,2.7,58,No
P00158,LifeCare,Omeprazole,Sun Healthcare,Ointment,5mg,20,642.31,0,642.31,Yes,OTC,Antihypertensive,Refrigerated,23,USA,Limited,2.9,215,Yes
P00159,HealPlus,Paracetamol,ABC Pharma,Capsule,500mg,10,1102.6,0,1102.6,No,Prescription,Antidiabetic,Room Temp,23,Bangladesh,Out of stock,3.0,488,Yes
